Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Japanese Trapdoor Snail,Viviparus malleattus,Chinese Mystery Snails,Invertebrates,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,10 years,6.5 - 8.0,68 - 85 F / 20 - 29 C,5 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, veggies, pellets",Any,Moderate,Moderate,Any,10 gallons / 37 liters
Jewel Cichlid,Hemichromis bimaculatus,,African cichlids,Difficult,6.0 inches / 152 mm,6.0 inches / 152 mm,5 years,6.5 - 7.5,74 - 80 F / 23 - 27 C,1 - 12 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Hoplo Catfish,Megalechis thoracata,"Brown Hoplo,  Spotted Hoplo",Misc catfish,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,4 years,6.0 - 8.0,64 - 82 F / 18 - 28 C,1 - 20 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Horned Nerite Snail,Clithon corona,Nerite Snail,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 3 years,6.5 - 8.0,65 - 85 F / 18 - 29 C,7 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Algae, veggies",Any,Moderate,Moderate,Any,5 gallons / 18 liters
Horseface Loach,Acantopsis choirorhynchos,"Horsehead Loach,  Long Nosed Loach",Loaches,Moderate,8.0 inches / 203 mm,8.0 inches / 203 mm,10 - 12 years,6.0 - 8.0,61 - 75 F / 16 - 24 C,1 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Low,Strong,High,55 gallons / 208 liters
Hunch Backed Limia,Limia nigrofasciata,,Livebearer,Easy,2.5 inches / 63 mm,2.5 inches / 63 mm,3 years,7.0 - 8.0,72 - 79 F / 22 - 26 C,10 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, veggies",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Honey Gourami,Trichogaster chuna,,Gouramis,Easy,2.0 inches / 50 mm,2.5 inches / 63 mm,5 - 8 years,6.0 - 7.5,71 - 82 F / 22 - 28 C,2 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,4+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,High,10 gallons / 37 liters
Haplochromis sp. Ruby Green,Haplochromis sp. Ruby Green,,African cichlids,Difficult,4.0 inches / 101 mm,4.0 inches / 101 mm,4 - 10 years,7.2 - 7.5,74 - 79 F / 23 - 26 C,6 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Herbivore,Algae,Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Harlequin Rasbora,Trigonostigma heteromorpha,,Rasboras,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,5 years,5.0 - 7.5,71 - 82 F / 22 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Harlequin Shark,Labeo variegatus,,Sharks,Moderate,6.4 inches / 162 mm,6.4 inches / 162 mm,5 - 8 years,6.0 - 7.5,70 - 81 F / 21 - 27 C,3 - 15 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Pellets, live, frozen, algae, veggies",Gravel,Moderate,Moderate,Moderate,40 gallons / 151 liters
Head and Tail Light Tetra,Hemigrammus ocellifer,,Tetras,Easy,1.8 inches / 45 mm,2.0 inches / 50 mm,5 years,5.5 - 7.5,75 - 82 F / 24 - 28 C,5 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Hi-Fin Peppered Cory,Scleromystax macropterus,,Cory,Easy,3.0 inches / 76 mm,3.5 inches / 88 mm,5 years,5.0 - 7.0,58 - 69 F / 14 - 21 C,2 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Highlands Rainbowfish,Chilatherina campsi,,Rainbowfish,Easy,3.5 inches / 88 mm,3.5 inches / 88 mm,5 - 8 years,7.5 - 7.8,72 - 79 F / 22 - 26 C,5 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,High,29 gallons / 109 liters
Hillstream Loach,Sewellia lineolata,,Loaches,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 10 years,6.0 - 7.5,68 - 75 F / 20 - 24 C,1 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Algae, veggies",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Honduran Red Point,Archocentrus sp. Honduran Red Point,Blue Convict,American cichlids,Moderate,5.0 inches / 127 mm,6.0 inches / 152 mm,9 years,7.0 - 8.0,73 - 81 F / 23 - 27 C,4 - 14 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,No,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Honey Blue Eye,Pseudomugil mellis,,Rainbowfish,Easy,0.8 inches / 20 mm,0.8 inches / 20 mm,3 years,4.4 - 7.5,72 - 86 F / 22 - 30 C,5 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Green Phantom Pleco,Hemiancistrus subviridis L200,,Plecos,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,12 years,5.5 - 7.5,78 - 86 F / 26 - 30 C,1 - 10 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, algae",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Green Spotted Puffer,Tetraodon nigroviridis,Leopard Puffer,Puffer,Difficult,6.0 inches / 152 mm,6.8 inches / 172 mm,15 years,7.5 - 8.5,75 - 82 F / 24 - 28 C,10 - 20 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Sand,Low,Moderate,High,29 gallons / 109 liters
Green Terror,Andinoacara rivulatus,Gold Saum,American cichlids,Moderate,8.0 inches / 203 mm,12.0 inches / 304 mm,7 - 10 years,6.5 - 8.0,68 - 77 F / 20 - 25 C,5 - 25 dGH,Mid,Semi aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Smooth gravel,Moderate,Moderate,Moderate,55 gallons / 208 liters
Guinean Bichir,Polypterus ansorgii,,Bichir,Moderate,18.0 inches / 457 mm,24.0 inches / 609 mm,8 - 12 years,6.5 - 7.5,73 - 82 F / 23 - 28 C,4 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,150 gallons / 567 liters
Gulper Catfish,Asterophysus batrachus,,Misc catfish,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,8 - 15 years,5.0 - 7.0,72 - 82 F / 22 - 28 C,1 - 10 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Live, frozen",Sand,Low,Moderate,Low,75 gallons / 283 liters
Guppy,Poecilia reticulata,,Livebearer,Easy,1.5 inches / 38 mm,2.5 inches / 63 mm,2 years,7.0 - 8.5,68 - 82 F / 20 - 28 C,10 - 30 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen, fry_food",Any,Moderate,Low,Moderate,5 gallons / 18 liters
Half Banded Spiny Eel,Macrognathus circumcinctus,"Half Barred Spiny Eel,  Zig Zag Spiny Eel",Eels,Moderate,8.0 inches / 203 mm,8.0 inches / 203 mm,5 - 10 years,7.0 - 7.5,75 - 82 F / 24 - 28 C,5 - 15 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Haplochromis nyererei,Pundamilia nyererei,Pundamilia nyererei,African cichlids,Moderate,3.0 inches / 76 mm,5.0 inches / 127 mm,3 - 5 years,7.0 - 8.5,73 - 81 F / 23 - 27 C,5 - 15 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:3,Yes,Omnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Haplochromis sp. 44,Haplochromis sp. 44,,African cichlids,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,3 - 5 years,7.5 - 8.5,72 - 78 F / 22 - 26 C,5 - 18 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Golden Julie,Julidochromis ornatus,,African cichlids,Moderate,3.0 inches / 76 mm,3.5 inches / 88 mm,5 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,2,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Golden Killifish,Aplocheilus Lineatus,"Golden Wonder Killifish,  Striped Panchax Killifish",Killifish,Easy,3.9 inches / 99 mm,3.9 inches / 99 mm,4 years,6.0 - 7.5,72 - 77 F / 22 - 25 C,5 - 20 dGH,Top,Peaceful,Semi aggressive,Peaceful,4+,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Low,Low,Moderate,20 gallons / 75 liters
Golden Oto,Otocinclus affinis,,Misc catfish,Moderate,1.5 inches / 38 mm,1.5 inches / 38 mm,3 - 5 years,5.5 - 7.5,69 - 79 F / 21 - 26 C,6 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,3+,1:1,Yes,Herbivore,"Algae, veggies, pellets",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Goldfish,Carassius auratus,,Goldfish,Easy,12.0 inches / 304 mm,12.0 inches / 304 mm,10 - 15 years,6.0 - 8.0,65 - 72 F / 18 - 22 C,5 - 19 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,20 gallons / 75 liters
Goldie River Rainbowfish,Melanotaenia goldiei,,Rainbowfish,Moderate,4.5 inches / 114 mm,5.5 inches / 139 mm,5 - 8 years,7.0 - 8.0,75 - 82 F / 24 - 28 C,5 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Grants Peacock,Aulonocara stuartgranti,"Flavescent Peacock,  Ngara Aulonocara",African cichlids,Easy,5.0 inches / 127 mm,5.0 inches / 127 mm,6 - 10 years,7.5 - 9.0,73 - 84 F / 23 - 29 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,1,1:4,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Green Chromide,Etroplus suratensis,Banded Chromide,Misc,Moderate,11.0 inches / 279 mm,13.0 inches / 330 mm,5 - 8 years,7.5 - 8.5,73 - 81 F / 23 - 27 C,20 dGH,Mid,Peaceful,Semi aggressive,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Any,125 gallons / 473 liters
Green Fire Tetra,Aphyocharax rathbuni,Redflank Bloodfin,Tetras,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,3 - 6 years,6.5 - 7.5,68 - 79 F / 20 - 26 C,2 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Glowlight Tetra,Hemigrammus erythrozonus,,Tetras,Easy,1.6 inches / 40 mm,2.0 inches / 50 mm,5 years,5.5 - 7.5,75 - 82 F / 24 - 28 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Goby Pleco,Parotocinclus jumbo,Pitbull Pleco,Plecos,Moderate,2.0 inches / 50 mm,2.5 inches / 63 mm,4 - 5 years,6.3 - 7.7,70 - 79 F / 21 - 26 C,5 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Herbivore,"Algae, veggies",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Gold Barb,Puntius sachsii,,Barbs,Easy,3.5 inches / 88 mm,4.0 inches / 101 mm,4 - 6 years,6.0 - 8.0,74 - 82 F / 23 - 28 C,5 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Gold Laser Cory,Corydoras sp. Cw010,,Cory,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,5 years,6.0 - 7.2,72 - 82 F / 22 - 28 C,0 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Gold Nugget Pleco,Baryancistrus xanthellus,,Plecos,Moderate,9.0 inches / 228 mm,9.0 inches / 228 mm,25 years,6.0 - 8.0,80 - 89 F / 27 - 32 C,8 - 10 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, veggies, algae",Gravel,Moderate,Moderate,Moderate,55 gallons / 208 liters
Gold Ocellatus,Lamprologus ocellatus,Ocellated Shell-dweller,African cichlids,Moderate,2.0 inches / 50 mm,2.4 inches / 60 mm,8 - 10 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,10 - 25 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:2,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Gold Tetra,Hemigrammus rodwayi,,Tetras,Easy,2.2 inches / 55 mm,2.2 inches / 55 mm,3 years,5.5 - 7.0,75 - 82 F / 24 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Golden Barb,Puntius gelius,Golden Dwarf Barb,Barbs,Easy,1.5 inches / 38 mm,2.5 inches / 63 mm,2 - 3 years,6.0 - 7.2,64 - 75 F / 18 - 24 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Golden Dwarf Cichlid,Nannacara anomala,Goldeneye Cichlid,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 8 years,6.0 - 7.5,72 - 77 F / 22 - 25 C,0 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Geophagus sveni,Geophagus sveni,,American cichlids,Easy,6.5 inches / 165 mm,10.0 inches / 254 mm,10 years,6.2 - 7.6,76 - 84 F / 24 - 29 C,2 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,5+,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
German Blue Ram,Mikrogeophagus ramirezi,"Blue Ram,  Dutch Ram,  Golden Ram",American cichlids,Moderate,2.5 inches / 63 mm,3.0 inches / 76 mm,4 years,5.0 - 7.5,79 - 86 F / 26 - 30 C,0 - 10 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Giant Danio,Perilampus aequipinnatus,,Danios,Easy,3.0 inches / 76 mm,4.0 inches / 101 mm,5 - 7 years,6.0 - 8.0,64 - 77 F / 18 - 25 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Strong,Moderate,29 gallons / 109 liters
Giant Gourami,Osphronemus goramy,,Gouramis,Moderate,28.0 inches / 711 mm,28.0 inches / 711 mm,20 years,6.0 - 8.0,68 - 86 F / 20 - 30 C,5 - 25 dGH,Mid,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen, veggies",Any,Moderate,Moderate,Low,200 gallons / 757 liters
Glass Bloodfin Tetra,Prionobrama filigera,,Tetras,Easy,2.4 inches / 60 mm,2.4 inches / 60 mm,12 years,7.0 - 7.5,72 - 80 F / 22 - 27 C,1 - 30 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Carnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Glass Catfish,Kryptopterus vitreolus,,Misc,Moderate,2.5 inches / 63 mm,4.0 inches / 101 mm,7 - 8 years,4.0 - 7.0,68 - 79 F / 20 - 26 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Low,Moderate,Moderate,29 gallons / 109 liters
Glowlight Danio,Danio choprai,,Danios,Easy,1.2 inches / 30 mm,1.2 inches / 30 mm,3 years,6.0 - 8.0,61 - 79 F / 16 - 26 C,10 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Glowlight Rasbora,Trigonostigma hengeli,,Rasboras,Easy,2.0 inches / 50 mm,2.3 inches / 58 mm,3 - 5 years,4.0 - 7.5,70 - 79 F / 21 - 26 C,0 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Frogmouth Catfish,Chaca chaca,Squarehead Catfish,Misc catfish,Moderate,8.0 inches / 203 mm,8.0 inches / 203 mm,8 - 12 years,6.0 - 8.0,72 - 77 F / 22 - 25 C,4 - 25 dGH,Bottom,Aggressive,Peaceful,Aggressive,1,1:1,Yes,Carnivore,Live,Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Frontosa,Cyphotilapia frontosa,,African cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,25 years,8.0 - 9.0,73 - 81 F / 23 - 27 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,4+,1:3,Yes,Carnivore,"Pellets, live, frozen",Any,Moderate,Moderate,Moderate,75 gallons / 283 liters
Fuelleborn’s Cichlid,Labeotropheus fuelleborni,Blue Mbuna,African cichlids,Moderate,7.0 inches / 177 mm,7.0 inches / 177 mm,12 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:2,No,Omnivore,"Veggies, live, frozen",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Gangetic Leaf Fish,Nandus nandus,,Misc,Difficult,8.0 inches / 203 mm,8.0 inches / 203 mm,5 - 8 years,6.5 - 8.0,73 - 81 F / 23 - 27 C,10 - 20 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,Live,Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Gardneri Killifish,Fundulopanchax gardneri,Blue Lyretail,Killifish,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,2 - 5 years,6.0 - 7.5,68 - 79 F / 20 - 26 C,1 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,Any,1:3,Yes,Carnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Garnet Tetra,Hemigrammus pulcher,Pretty Tetra,Tetras,Easy,1.8 inches / 45 mm,1.8 inches / 45 mm,2 years,5.5 - 7.0,74 - 82 F / 23 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Geophagus altifrons,Geophagus altifrons,,American cichlids,Moderate,8.0 inches / 203 mm,12.0 inches / 304 mm,10 years,5.0 - 7.0,77 - 86 F / 25 - 30 C,1 - 5 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Geophagus Orange Head Tapajos,Geophagus sp Orange Head Tapajos,Geophagus Red Head Tapajos,American cichlids,Moderate,6.0 inches / 152 mm,10.0 inches / 254 mm,10 years,4.5 - 7.5,76 - 86 F / 24 - 30 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Flower Stingray,Potamotrygon schroederi,,Monster,Difficult,24.0 inches / 609 mm,24.0 inches / 609 mm,20 years,6.0 - 7.5,68 - 84 F / 20 - 29 C,1 - 12 dGH,Bottom,Aggressive,Peaceful,Aggressive,Any,1:1,No,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,250 gallons / 946 liters
Flowerhorn,Flowerhorn,,American cichlids,Moderate,16.0 inches / 406 mm,16.0 inches / 406 mm,10 years,6.5 - 8.0,78 - 86 F / 26 - 30 C,8 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Pellets, live, frozen",None,Moderate,Moderate,None,75 gallons / 283 liters
Flowerhorn Short Body,Flowerhorn Short Body,,American cichlids,Moderate,10.0 inches / 254 mm,10.0 inches / 254 mm,10 years,6.5 - 8.0,78 - 86 F / 26 - 30 C,8 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Pellets, live, frozen",None,Moderate,Moderate,None,55 gallons / 208 liters
Fly River Rainbowfish,Melanotaenia sexlineata,,Rainbowfish,Easy,2.8 inches / 71 mm,2.8 inches / 71 mm,5 - 8 years,6.0 - 7.5,75 - 79 F / 24 - 26 C,1 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Flying Fox,Epalzeorhynchos kalopterum,,Sharks,Easy,6.0 inches / 152 mm,6.3 inches / 160 mm,8 years,6.0 - 7.5,68 - 79 F / 20 - 26 C,2 - 15 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Fly-specked Hardyhead,Craterocephalus stercusmuscarum,,Misc,Easy,2.8 inches / 71 mm,2.8 inches / 71 mm,5 years,6.0 - 6.5,75 - 86 F / 24 - 30 C,5 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:3,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Any,10 gallons / 37 liters
Forktail Rainbowfish,Pseudomugil furcatus,,Rainbowfish,Easy,2.3 inches / 58 mm,2.3 inches / 58 mm,3 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,5 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Fossorochromis rostratus,Fossorochromis rostratus,,African cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,5 - 8 years,7.5 - 8.8,77 - 84 F / 25 - 29 C,10 - 25 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,No,Omnivore,"Pellets, veggies",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Freshwater Barracuda,Ctenolucius hujeta,"Gar Characin,  Hujeta Gar,  Rocket Gar,  Pike Characin,  Slant Nosed Gar",Misc,Moderate,10.0 inches / 254 mm,28.0 inches / 711 mm,5 - 8 years,5.0 - 7.5,72 - 77 F / 22 - 25 C,6 - 16 dGH,Top,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Low,Moderate,75 gallons / 283 liters
Firemouth,Thorichthys meeki,,American cichlids,Easy,5.0 inches / 127 mm,7.0 inches / 177 mm,15 years,6.5 - 8.5,68 - 82 F / 20 - 28 C,2 - 15 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, veggies, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Five Banded Barb,Puntius pentazona,,Barbs,Easy,2.0 inches / 50 mm,2.5 inches / 63 mm,5 - 8 years,4.0 - 7.0,70 - 79 F / 21 - 26 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Five-barred Lamprologus,Neolamprologus tretocephalus,Five Bar Cichlid,African cichlids,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,8 - 10 years,7.5 - 9.0,73 - 81 F / 23 - 27 C,8 - 25 dGH,Bottom,Aggressive,Aggressive,Aggressive,"1, 2",1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Flag Tetra,Hyphessobrycon Heterorhabdus,,Tetras,Easy,1.3 inches / 33 mm,1.5 inches / 38 mm,3 - 5 years,5.5 - 7.5,68 - 79 F / 20 - 26 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Flagtail Cory,Corydoras robineae,,Cory,Easy,2.8 inches / 71 mm,2.8 inches / 71 mm,5 years,6.5 - 7.5,70 - 79 F / 21 - 26 C,5 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Flagtail Prochilodus,Semaprochilodus insignis,,Misc,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,5 - 8 years,5.5 - 7.2,73 - 84 F / 23 - 29 C,1 - 15 dGH,Mid,Peaceful,Semi aggressive,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, pellets, veggies, algae",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
